lat,lng,labels,image_ids,gt
40.79970171791703,-73.96852893383868,"[0, 0]","[173, 171]",40.79977139147511
40.799779696672566,-73.96848809834306,"[0]","[173]",40.79977139147511
40.78546822861695,-73.97312316659811,"[0]","[272]",40.78548465814444
40.797590752115674,-73.96933237905752,"[0]","[153]",40.79755675287872
40.79809565019455,-73.96896582134964,"[0]","[157]",40.79784590781496
40.79850720585947,-73.96866445773179,"[0, 0]","[166, 163]",40.798507941555755
40.79845727567118,-73.9687006639279,"[0]","[166]",40.798507941555755
40.79856685052337,-73.96862120721596,"[0]","[166]",40.798507941555755
40.79126118029311,-73.97385377688835,"[0]","[60]",-1
40.78627624817066,-73.97253282359122,"[0]","[266]",40.78629127555311
40.79932863080253,-73.9687244004651,"[0, 0]","[178, 177]",40.799529471273836
40.798081489755255,-73.96959247962121,"[0]","[200]",40.798153049538406
40.78372645168864,-73.9743866395337,"[0]","[289]",40.78361960863239
40.783680152397984,-73.97442048907706,"[0]","[289]",40.78361960863239
40.800495114214684,-73.96771855863712,"[0]","[220]",40.800800545927785
40.80028360339757,-73.96766379656158,"[0]","[220]",40.80028200355973
40.782187946735846,-73.97551949588939,"[0]","[299]",40.78219386298359
40.798710787250265,-73.96914194303363,"[0, 0]","[184, 187]",40.798712424235504
40.7869480139938,-73.97514270329206,"[0]","[24]",-1
40.78278538234658,-73.9750811830573,"[0]","[294]",40.78278515811286
40.782833160427586,-73.9750462215739,"[0]","[294]",40.78278515811286
40.8050581991407,-73.96636614153077,"[0, 0]","[250, 248]",40.805057208749574
40.79578099308766,-73.97064811024696,"[0]","[134]",40.795632566607914
40.795729060363264,-73.97068600531868,"[0]","[133]",40.795632566607914
40.79557444615906,-73.97080008457868,"[0]","[133]",40.795573934588795
40.79172003770651,-73.97361961111022,"[0, 0]","[66, 61]",40.791897697044945
40.79835436771498,-73.96848266516662,"[0]","[158]",40.798507941555755
40.79821086959281,-73.96888258821318,"[0]","[158]",40.79824423910714
40.79813423001892,-73.96893794872636,"[0, 0]","[158, 160]",40.79784590781496
40.798047496725296,-73.96900061394922,"[0, 0]","[158, 156]",40.79784590781496
40.79878572885402,-73.96908740272613,"[0]","[187]",40.798712424235504
40.78106178655168,-73.97634036165275,"[0]","[313]",40.78112688535957
40.780974843796386,-73.97639983127628,"[0]","[313]",40.78095764752349
40.781145966691234,-73.97627908675884,"[0]","[313]",40.78112688535957
40.78341348051906,-73.97461559468718,"[0]","[290]",40.78361960863239
40.78312792210854,-73.97483050015423,"[0]","[293]",40.783136048346506
40.79162880016094,-73.97368157130977,"[0]","[61]",40.79163081206712
40.79154385158943,-73.9737442714459,"[0, 0]","[61, 60]",40.79163081206712
40.79364969675777,-73.97220961384635,"[0, 0]","[99, 90]",40.79365756816016
40.793558425772666,-73.97227586943957,"[0]","[99]",40.79342352985973
40.793898273337916,-73.971860096011,"[0]","[99]",40.79401745037391
40.79373561758584,-73.97214726885235,"[0]","[99]",40.793704878673736
40.79352006311143,-73.97230369430756,"[0, 0]","[96, 88]",40.79342352985973
40.79744230542982,-73.96944189096891,"[0]","[146]",40.79755675287872
40.797554265671195,-73.96935929579367,"[0, 0]","[146, 147]",40.79755675287872
40.79736918334979,-73.96949583450225,"[0, 0]","[146, 147]",40.79755675287872
40.79470890041436,-73.97103733247432,"[0]","[123]",-1
40.79492619097507,-73.97083752707755,"[0]","[123]",40.79498958124773
40.78609019314955,-73.97597263169033,"[0]","[21]",40.786084569343274
40.7860172363937,-73.97602611110219,"[0]","[21]",40.786017238221305
40.786195528024315,-73.97589540196343,"[0]","[21]",-1
40.785919443872714,-73.97609782534286,"[0]","[21]",40.785924281682746
