id,name,x,y,pitch,heading,height,fov,annotations,country,direction
171,NVilIIi0gJ.jpg,-73.9683286559247,40.7997915710701,0,287,,120,3,us,197.088577270508
94,4IeS16X8wr.jpg,-73.9725818077791,40.793448812125,0,122,,120,3,us,32.4767303466797
122,k1uWGJFGUM.jpg,-73.97142520391,40.7950061590188,0,116,,120,4,us,26.5836391448975
63,YFhaineTI5.jpg,-73.9736997150164,40.7919115767566,0,119,,120,3,us,29.2723846435547
88,NUqH6D7knz.jpg,-73.9726504713491,40.7934041588296,0,120,,120,4,us,30.0477237701416
263,95wOYm1Z4g.jpg,-73.9720021693976,40.7867690111844,0,298,,120,4,us,208.484268188477
90,tnTCIsjTZc.jpg,-73.972457223406,40.793637691698,0,121,,120,4,us,31.9474811553955
116,DDbexf4VQX.jpg,-73.9716399776628,40.7947056223819,0,120,,120,4,us,30.1126365661621
177,eQzMVzqigQ.jpg,-73.9685577041295,40.7993395278945,0,290,,120,4,us,200.494445800781
161,2TBHDxBtGR.jpg,-73.9689969584602,40.7983554492458,0,118,,120,4,us,28.9219703674316
246,EBg5mb7kiZ.jpg,-73.9660191517723,40.8052846043842,0,297,,120,4,us,207.28141784668
42,FRynctFdrB.jpg,-73.9746281431509,40.788160291558,0,118,,120,4,us,28.9009952545166
147,rR8hQ2nYyo.jpg,-73.9696111436864,40.7975786222066,0,117,,120,4,us,27.2139682769775
285,6s69dFGTIE.jpg,-73.9740980274161,40.7839293715587,0,292,,120,4,us,202.05078125
41,0fbBD8nSwf.jpg,-73.9746871081994,40.7880809872322,0,119,,120,4,us,29.7517108917236
173,FGGPH0VvtB.jpg,-73.9683825222505,40.7996812616827,0,290,,120,4,us,200.43034362793
272,HpZSQgo84j.jpg,-73.9730802779687,40.785350942443,0,298,,120,4,us,208.294998168945
142,TsSyGAxxtf.jpg,-73.9698367196041,40.7972616958024,0,121,,120,4,us,31.8271541595459
157,CkKxuAu3fT.jpg,-73.9691290119457,40.7981870700406,0,117,,120,4,us,27.7594718933106
271,B5RSt8JNl4.jpg,-73.9729168924212,40.7854569157268,0,299,,120,4,us,209.424041748047
166,hsmBdTKcUR.jpg,-73.9688246469578,40.7985897519552,0,118,,120,4,us,28.7117137908936
